datetime_beginning_ept,load_area,mw,year,black_friday
2016-11-01 10:00:00,PN,2136.157,2016,2016-11-25
2016-11-01 10:00:00,PS,4651.206,2016,2016-11-25
2016-11-01 10:00:00,RECO,161.486,2016,2016-11-25
2016-11-01 10:00:00,AEPAPT,4152.794,2016,2016-11-25
2016-11-01 10:00:00,AEPIMP,3215.685,2016,2016-11-25
2016-11-01 10:00:00,AEPKPT,610.459,2016,2016-11-25
2016-11-01 10:00:00,AEPOPT,6118.431,2016,2016-11-25
2016-11-01 10:00:00,AP,5354.157,2016,2016-11-25
2016-11-01 10:00:00,OE,7206.966,2016,2016-11-25
2016-11-01 10:00:00,PAPWR,558.921,2016,2016-11-25
2016-11-01 10:00:00,CE,11164.512,2016,2016-11-25
2016-11-01 10:00:00,DAY,2014.0,2016,2016-11-25
2016-11-01 10:00:00,DEOK,2987.243,2016,2016-11-25
2016-11-01 10:00:00,DUQ,1527.069,2016,2016-11-25
2016-11-01 10:00:00,RTO,85808.148,2016,2016-11-25
2016-11-01 10:00:00,DOM,9971.22,2016,2016-11-25
2016-11-01 10:00:00,EKPC,1149.31,2016,2016-11-25
2016-11-01 11:00:00,AE,903.569,2016,2016-11-25
2016-11-01 11:00:00,BC,3221.439,2016,2016-11-25
2016-11-01 11:00:00,DPLCO,1837.176,2016,2016-11-25
2016-11-01 11:00:00,EASTON,29.54,2016,2016-11-25
2016-11-01 11:00:00,JC,2218.396,2016,2016-11-25
2016-11-01 11:00:00,ME,1830.951,2016,2016-11-25
2016-11-01 11:00:00,PE,4254.016,2016,2016-11-25
2016-11-01 11:00:00,PEPCO,2892.761,2016,2016-11-25
2016-11-01 11:00:00,SMECO,324.565,2016,2016-11-25
2016-11-01 11:00:00,PLCO,4794.372,2016,2016-11-25
2016-11-01 11:00:00,UGI,128.067,2016,2016-11-25
2016-11-01 11:00:00,PN,2094.408,2016,2016-11-25
2016-11-01 11:00:00,PS,4577.842,2016,2016-11-25
2016-11-01 11:00:00,RECO,159.276,2016,2016-11-25
2016-11-01 11:00:00,AEPAPT,4119.416,2016,2016-11-25
2016-11-01 11:00:00,AEPIMP,3229.014,2016,2016-11-25
2016-11-01 11:00:00,AEPKPT,612.687,2016,2016-11-25
2016-11-01 11:00:00,AEPOPT,6109.248,2016,2016-11-25
2016-11-01 11:00:00,AP,5304.745,2016,2016-11-25
2016-11-01 11:00:00,OE,7203.655,2016,2016-11-25
2016-11-01 11:00:00,PAPWR,573.238,2016,2016-11-25
2016-11-01 11:00:00,CE,11406.652,2016,2016-11-25
2016-11-01 11:00:00,DAY,2031.0,2016,2016-11-25
2016-11-01 11:00:00,DEOK,3030.465,2016,2016-11-25
2016-11-01 11:00:00,DUQ,1536.187,2016,2016-11-25
2016-11-01 11:00:00,RTO,85493.944,2016,2016-11-25
2016-11-01 11:00:00,DOM,9867.769,2016,2016-11-25
2016-11-01 11:00:00,EKPC,1203.49,2016,2016-11-25
2016-11-01 12:00:00,AE,886.836,2016,2016-11-25
2016-11-01 12:00:00,BC,3209.073,2016,2016-11-25
2016-11-01 12:00:00,DPLCO,1817.338,2016,2016-11-25
2016-11-01 12:00:00,EASTON,28.559,2016,2016-11-25
2016-11-01 12:00:00,JC,2177.106,2016,2016-11-25
2016-11-01 12:00:00,ME,1812.362,2016,2016-11-25
2016-11-01 12:00:00,PE,4228.779,2016,2016-11-25
2016-11-01 12:00:00,PEPCO,2885.612,2016,2016-11-25
2016-11-01 12:00:00,SMECO,312.591,2016,2016-11-25
2016-11-01 12:00:00,PLCO,4696.322,2016,2016-11-25
2016-11-01 12:00:00,UGI,125.31,2016,2016-11-25
2016-11-01 12:00:00,PN,2049.082,2016,2016-11-25
2016-11-01 12:00:00,PS,4519.694,2016,2016-11-25
2016-11-01 12:00:00,RECO,157.503,2016,2016-11-25
2016-11-01 12:00:00,AEPAPT,4129.056,2016,2016-11-25
2016-11-01 12:00:00,AEPIMP,3283.073,2016,2016-11-25
2016-11-01 12:00:00,AEPKPT,615.93,2016,2016-11-25
2016-11-01 12:00:00,AEPOPT,6164.054,2016,2016-11-25
2016-11-01 12:00:00,AP,5221.101,2016,2016-11-25
2016-11-01 12:00:00,OE,7204.379,2016,2016-11-25
2016-11-01 12:00:00,PAPWR,556.586,2016,2016-11-25
2016-11-01 12:00:00,CE,11457.652,2016,2016-11-25
2016-11-01 12:00:00,DAY,2062.0,2016,2016-11-25
2016-11-01 12:00:00,DEOK,3054.506,2016,2016-11-25
2016-11-01 12:00:00,DUQ,1553.146,2016,2016-11-25
2016-11-01 12:00:00,RTO,85198.038,2016,2016-11-25
2016-11-01 12:00:00,DOM,9749.058,2016,2016-11-25
2016-11-01 12:00:00,EKPC,1241.33,2016,2016-11-25
2016-11-01 13:00:00,AE,900.293,2016,2016-11-25
2016-11-01 13:00:00,BC,3223.662,2016,2016-11-25
2016-11-01 13:00:00,DPLCO,1811.365,2016,2016-11-25
2016-11-01 13:00:00,EASTON,27.865,2016,2016-11-25
2016-11-01 13:00:00,JC,2172.069,2016,2016-11-25
2016-11-01 13:00:00,ME,1787.184,2016,2016-11-25
2016-11-01 13:00:00,PE,4226.237,2016,2016-11-25
2016-11-01 13:00:00,PEPCO,2857.784,2016,2016-11-25
2016-11-01 13:00:00,SMECO,308.996,2016,2016-11-25
2016-11-01 13:00:00,PLCO,4623.675,2016,2016-11-25
2016-11-01 13:00:00,UGI,123.874,2016,2016-11-25
2016-11-01 13:00:00,PN,2039.946,2016,2016-11-25
2016-11-01 13:00:00,PS,4542.209,2016,2016-11-25
2016-11-01 13:00:00,RECO,157.256,2016,2016-11-25
2016-11-01 13:00:00,AEPAPT,4178.524,2016,2016-11-25
2016-11-01 13:00:00,AEPIMP,3232.27,2016,2016-11-25
2016-11-01 13:00:00,AEPKPT,624.929,2016,2016-11-25
2016-11-01 13:00:00,AEPOPT,6285.419,2016,2016-11-25
2016-11-01 13:00:00,AP,5187.366,2016,2016-11-25
2016-11-01 13:00:00,OE,7289.364,2016,2016-11-25
2016-11-01 13:00:00,PAPWR,574.765,2016,2016-11-25
2016-11-01 13:00:00,CE,11625.652,2016,2016-11-25
2016-11-01 13:00:00,DAY,2082.0,2016,2016-11-25
2016-11-01 13:00:00,DEOK,3153.348,2016,2016-11-25
2016-11-01 13:00:00,DUQ,1585.746,2016,2016-11-25
2016-11-01 13:00:00,RTO,85605.203,2016,2016-11-25
2016-11-01 13:00:00,DOM,9679.725,2016,2016-11-25
2016-11-01 13:00:00,EKPC,1303.68,2016,2016-11-25
2016-11-01 14:00:00,AE,920.214,2016,2016-11-25
2016-11-01 14:00:00,BC,3143.077,2016,2016-11-25
2016-11-01 14:00:00,DPLCO,1796.994,2016,2016-11-25
2016-11-01 14:00:00,EASTON,27.239,2016,2016-11-25
2016-11-01 14:00:00,JC,2203.875,2016,2016-11-25
2016-11-01 14:00:00,ME,1760.443,2016,2016-11-25
2016-11-01 14:00:00,PE,4189.803,2016,2016-11-25
2016-11-01 14:00:00,PEPCO,2865.369,2016,2016-11-25
2016-11-01 14:00:00,SMECO,307.697,2016,2016-11-25
2016-11-01 14:00:00,PLCO,4584.801,2016,2016-11-25
2016-11-01 14:00:00,UGI,120.872,2016,2016-11-25
2016-11-01 14:00:00,PN,1978.897,2016,2016-11-25
2016-11-01 14:00:00,PS,4572.284,2016,2016-11-25
2016-11-01 14:00:00,RECO,156.024,2016,2016-11-25
2016-11-01 14:00:00,AEPAPT,4164.441,2016,2016-11-25
2016-11-01 14:00:00,AEPIMP,3285.013,2016,2016-11-25
2016-11-01 14:00:00,AEPKPT,643.218,2016,2016-11-25
2016-11-01 14:00:00,AEPOPT,6299.053,2016,2016-11-25
2016-11-01 14:00:00,AP,5155.024,2016,2016-11-25
2016-11-01 14:00:00,OE,7253.006,2016,2016-11-25
2016-11-01 14:00:00,PAPWR,567.257,2016,2016-11-25
2016-11-01 14:00:00,CE,11794.659,2016,2016-11-25
2016-11-01 14:00:00,DAY,2088.0,2016,2016-11-25
2016-11-01 14:00:00,DEOK,3190.255,2016,2016-11-25
2016-11-01 14:00:00,DUQ,1554.008,2016,2016-11-25
2016-11-01 14:00:00,RTO,85605.292,2016,2016-11-25
2016-11-01 14:00:00,DOM,9646.039,2016,2016-11-25
2016-11-01 14:00:00,EKPC,1337.73,2016,2016-11-25
2016-11-01 15:00:00,AE,960.575,2016,2016-11-25
2016-11-01 15:00:00,BC,3222.482,2016,2016-11-25
2016-11-01 15:00:00,DPLCO,1794.405,2016,2016-11-25
2016-11-01 15:00:00,EASTON,26.864,2016,2016-11-25
2016-11-01 15:00:00,JC,2259.567,2016,2016-11-25
2016-11-01 15:00:00,ME,1743.982,2016,2016-11-25
2016-11-01 15:00:00,PE,4150.58,2016,2016-11-25
2016-11-01 15:00:00,PEPCO,2829.954,2016,2016-11-25
2016-11-01 15:00:00,SMECO,312.8,2016,2016-11-25
