load_area,feature,importance,importance_norm
PAPWR,is_blackfriday,0.0,0.0
PAPWR,is_thanksgiving,0.0,0.0
PAPWR,days_from_bf,0.1361600011587143,0.1361600062310698
PAPWR,peak_hour_lag_2d,0.06630618125200272,0.06630618372210055
PAPWR,peak_hour_lag_3d,0.049466099590063095,0.049466101432818974
PAPWR,peak_hour_lag_4d,0.03866668418049812,0.03866668562094441
PAPWR,peak_hour_lag_5d,0.040046967566013336,0.04004696905787919
PAPWR,peak_hour_lag_6d,0.042528875172138214,0.04252887675646234
PAPWR,peak_hour_lag_7d,0.07319082319736481,0.07319082592393554
PAPWR,peak_hour_lag_8d,0.040121544152498245,0.04012154564714229
PAPWR,peak_hour_lag_9d,0.0468732975423336,0.04687329928850007
PAPWR,peak_hour_bf_lag_1yr,0.04685671627521515,0.04685671802076392
PAPWR,peak_hour_bf_lag_2yr,0.0459824837744236,0.04598248548740467
PAPWR,peak_hour_bf_lag_3yr,0.048272836953401566,0.04827283875170495
PAPWR,peak_hour_bf_lag_4yr,0.050068199634552,0.050068201499737855
PE,day_of_week,0.04459253326058388,0.044592533302113914
PE,month,0.20744937658309937,0.20744937677630165
PE,day_of_month,0.00859410036355257,0.008594100371556451
PE,is_blackfriday,0.0,0.0
PE,is_thanksgiving,0.031015586107969284,0.0310155861368548
PE,days_from_bf,0.12403544783592224,0.12403544795143925
PE,peak_hour_lag_2d,0.0363704189658165,0.03637041899968909
PE,peak_hour_lag_3d,0.0670674741268158,0.06706747418927725
PE,peak_hour_lag_4d,0.05658375471830368,0.05658375477100141
PE,peak_hour_lag_5d,0.03842153772711754,0.03842153776290039
PE,peak_hour_lag_6d,0.05153191462159157,0.05153191466958441
PE,peak_hour_lag_7d,0.11371653527021408,0.11371653537612086
PE,peak_hour_lag_8d,0.06271645426750183,0.06271645432591108
PE,peak_hour_lag_9d,0.022418871521949768,0.02241887154282897
PE,peak_hour_bf_lag_1yr,0.04601186141371727,0.04601186145656916
PE,peak_hour_bf_lag_2yr,0.04104853421449661,0.04104853425272604
PE,peak_hour_bf_lag_3yr,0.024278419092297554,0.024278419114908596
PE,peak_hour_bf_lag_4yr,0.02414717897772789,0.024147179000216703
PEPCO,day_of_week,0.15751953423023224,0.15751951794636762
PEPCO,month,0.1669081598520279,0.16690814259759726
PEPCO,day_of_month,0.013860625214874744,0.013860623782007732
PEPCO,is_blackfriday,0.0,0.0
PEPCO,is_thanksgiving,0.0,0.0
PEPCO,days_from_bf,0.11329497396945953,0.11329496225738822
PEPCO,peak_hour_lag_2d,0.039153166115283966,0.03915316206775513
PEPCO,peak_hour_lag_3d,0.028447935357689857,0.028447932416833473
PEPCO,peak_hour_lag_4d,0.026522217318415642,0.026522214576633816
PEPCO,peak_hour_lag_5d,0.032307904213666916,0.03230790087377932
PEPCO,peak_hour_lag_6d,0.02987719140946865,0.029877188320860358
PEPCO,peak_hour_lag_7d,0.11192173510789871,0.11192172353778844
PEPCO,peak_hour_lag_8d,0.026533497497439384,0.02653349475449145
PEPCO,peak_hour_lag_9d,0.02889573574066162,0.02889573275351307
PEPCO,peak_hour_bf_lag_1yr,0.09377267211675644,0.09377266242283813
PEPCO,peak_hour_bf_lag_2yr,0.048427533358335495,0.0484275283520523
PEPCO,peak_hour_bf_lag_3yr,0.021627945825457573,0.02162794358962985
PEPCO,peak_hour_bf_lag_4yr,0.060929276049137115,0.06092926975046383
PLCO,day_of_week,0.09125829488039017,0.0912582943704447
PLCO,month,0.15931180119514465,0.1593118003049206
PLCO,day_of_month,0.019008904695510864,0.019008904589290332
PLCO,is_blackfriday,0.0,0.0
PLCO,is_thanksgiving,0.0,0.0
PLCO,days_from_bf,0.11904119700193405,0.11904119633673953
PLCO,peak_hour_lag_2d,0.0637313649058342,0.06373136454970744
PLCO,peak_hour_lag_3d,0.047480687499046326,0.04748068723372731
PLCO,peak_hour_lag_4d,0.05633152276277542,0.05633152244799851
PLCO,peak_hour_lag_5d,0.04972846060991287,0.049728460332033445
PLCO,peak_hour_lag_6d,0.04040054976940155,0.040400549543645886
PLCO,peak_hour_lag_7d,0.1116776168346405,0.11167761621059319
PLCO,peak_hour_lag_8d,0.04747005179524422,0.04747005152998463
PLCO,peak_hour_lag_9d,0.03334473446011543,0.03334473427378721
PLCO,peak_hour_bf_lag_1yr,0.031383030116558075,0.03138302994119173
PLCO,peak_hour_bf_lag_2yr,0.06259185075759888,0.06259185040783966
PLCO,peak_hour_bf_lag_3yr,0.02672981284558773,0.02672981269622326
PLCO,peak_hour_bf_lag_4yr,0.04051012545824051,0.04051012523187254
PN,day_of_week,0.123048335313797,0.12304834104368188
PN,month,0.14605753123760223,0.14605753803893634
PN,day_of_month,0.022763947024941444,0.02276394808497038
PN,is_blackfriday,0.0,0.0
PN,is_thanksgiving,0.0,0.0
PN,days_from_bf,0.11103753745555878,0.11103754262614728
PN,peak_hour_lag_2d,0.05589031055569649,0.055890313158292
PN,peak_hour_lag_3d,0.048609524965286255,0.048609527228843756
PN,peak_hour_lag_4d,0.04078000411391258,0.040780006012879594
PN,peak_hour_lag_5d,0.034129586070775986,0.03412958766005876
PN,peak_hour_lag_6d,0.0423421636223793,0.042342165594090035
